YEAR,Start_Year,Home_Value,Source
2016,1,195007,zillow
2017,2,199906,zillow 
2018,3,199906,zillow
2019,4,215936,zillow
2020,5,231484,zillow
2021,6,253185,zillow
2022,7,277355,zillow
2023,8,257574,zillow
2024,9,241125,zillow
2019,4,297117,redfin
2020,5,328734,redfin 
2021,6,381341,redfin
2022,7,408017,redfin
2023,8,420265,redfin
2024,9,433229,redfin
2015,0,185570,fred
2016,1,195890,fred
2017,2,201430,fred
2018,3,205570,fred
2019,4,211950,fred
2020,5,217160,fred
2021,6,231490,fred
2022,7,250810,fred
2023,8,247850,fred
