date ,open ,high,low,close,adj close,volume,day 
"Sep 18, 2024",152.49,156.04,152.54,153.6,153.6,"2,617,159",1258
"Sep 17, 2024",152.94,153.69,151.07,151.96,151.96,"3,162,300",1257
"Sep 16, 2024",151.95,153.74,150.71,152.84,152.84,"3,429,200",1256
"Sep 13, 2024",149.72,152.62,149.48,151.36,151.36,"3,592,300",1255
"Sep 12, 2024",147.35,148.98,146.61,148.44,148.44,"3,454,600",1254
"Sep 11, 2024",147.25,147.97,144.67,147.29,147.29,"4,089,500",1253
"Sep 10, 2024",150.59,150.78,147.35,148.01,148.01,"4,103,200",1252
"Sep 9, 2024",151.37,152.92,149.95,150.59,150.59,"3,735,200",1251
"Sep 6, 2024",151.61,153.33,150.72,151.28,151.28,"4,045,100",1250
"Sep 5, 2024",153.06,153.55,150.67,151.9,151.9,"3,358,900",1249
"Sep 4, 2024",152.65,153.74,148.87,152.48,152.48,"3,841,000",1248
"Sep 3, 2024",152.99,154.96,151.35,151.8,151.8,"4,071,000",1247
"Aug 30, 2024",153.69,154.15,152.19,153.62,153.62,"3,933,200",1246
"Aug 29, 2024",156.26,156.26,152.47,153.42,153.42,"3,879,500",1245
"Aug 28, 2024",157.75,158.32,155.69,156.86,156.86,"2,666,500",1244
"Aug 27, 2024",158.9,159.77,157.76,158.68,158.68,"3,252,300",1243
"Aug 26, 2024",159.31,161.84,157.97,158.9,158.9,"3,655,200",1242
"Aug 23, 2024",157.58,159.62,156.74,158.5,158.5,"3,188,300",1241
"Aug 22, 2024",159.9,160.12,156.42,156.82,156.82,"7,452,400",1240
"Aug 21, 2024",167.33,167.4,158.97,159.25,159.25,"25,572,100",1239
"Aug 20, 2024",144.5,145.7,142.88,144.33,143.21,"6,815,100",1238
"Aug 19, 2024",144.5,148.64,144.42,144.63,143.51,"4,427,000",1237
"Aug 16, 2024",141.12,144.24,140.89,144.04,142.92,"3,473,900",1236
"Aug 15, 2024",143.29,143.88,140.56,141.66,140.56,"4,640,600",1235
"Aug 14, 2024",136.7,136.91,135.51,135.76,134.71,"4,838,000",1234
"Aug 13, 2024",135.68,136.91,133.67,136.66,135.6,"3,319,800",1233
"Aug 12, 2024",134.59,136.54,134.12,135.02,133.97,"3,695,600",1232
"Aug 9, 2024",133.61,135.6,132.75,135.5,134.45,"3,778,100",1231
"Aug 8, 2024",134.79,135.99,133.07,133.97,132.93,"3,894,000",1230
"Aug 7, 2024",136.18,137.75,133.34,133.47,132.43,"3,209,700",1229
"Aug 6, 2024",134.51,135.91,133.25,133.85,132.81,"5,005,500",1228
"Aug 5, 2024",136,136.35,132.42,133.87,132.83,"6,887,700",1227
"Aug 2, 2024",145.32,145.42,138.04,139.17,138.09,"6,476,500",1226
"Aug 1, 2024",151.21,151.35,146.08,147.02,145.88,"3,782,400",1225
"Jul 31, 2024",148.71,152.4,147.93,150.41,149.24,"5,743,700",1224
"Jul 30, 2024",147.37,148.29,146.76,147.95,146.8,"2,379,200",1223
"Jul 29, 2024",147.38,147.9,145.14,146.82,145.68,"2,487,000",1222
"Jul 26, 2024",147.25,149.99,147.25,149,147.84,"2,427,000",1221
"Jul 25, 2024",146.58,149.42,145.99,146.29,145.15,"3,019,700",1220
"Jul 24, 2024",150.29,150.92,145.3,146.45,145.31,"3,029,500",1219
"Jul 23, 2024",150.2,150.96,149.64,150.27,149.1,"1,622,400",1218
"Jul 22, 2024",149.37,151.74,148.72,151.02,149.85,"3,692,800",1217
"Jul 19, 2024",151.46,151.46,149.36,149.73,148.57,"3,187,000",1216
"Jul 18, 2024",154.82,155.25,151.84,152.09,150.91,"2,927,400",1215
"Jul 17, 2024",154.04,156.74,154.04,155.93,154.72,"3,353,700",1214
"Jul 16, 2024",151.45,155.01,151.39,155.01,153.81,"3,391,800",1213
"Jul 15, 2024",152.85,153.45,150.91,151.3,150.13,"3,645,900",1212
"Jul 12, 2024",152.47,153.64,150.81,152.85,151.66,"2,675,700",1211
"Jul 11, 2024",147,151.89,146.5,151.4,150.23,"4,727,800",1210
